N,years,QFI,visibility,tau_int_s
1,0,0.999750031247396,0.9998750078121745,9.92063492063492e-10
1,1,0.997556561496123,0.9987775335359337,9.92063492063492e-10
1,2,0.9953679042573776,0.9976812638600454,9.92063492063492e-10
1,3,0.9931840489724197,0.9965861974623267,9.92063492063492e-10
1,5,0.9888307021446857,0.9943996692199197,9.92063492063492e-10
1,7,0.9844964370054085,0.9922179382602435,9.92063492063492e-10
1,10,0.9780306346016922,0.9889543137080156,9.92063492063492e-10
2,0,3.998000499916677,0.999750031247396,9.92063492063492e-10
2,1,3.9804763735358732,0.997556561496123,9.92063492063492e-10
2,2,3.9630290593028965,0.9953679042573776,9.92063492063492e-10
2,3,3.9456582205329993,0.9931840489724197,9.92063492063492e-10
2,5,3.911144630015809,0.9888307021446857,9.92063492063492e-10
2,7,3.8769329379053765,0.9844964370054085,9.92063492063492e-10
2,10,3.8261756888775547,0.9780306346016922,9.92063492063492e-10
4,0,15.984007997334,0.9995001249791693,9.92063492063492e-10
4,1,15.844192160277299,0.9951190933839683,9.92063492063492e-10
4,2,15.7055993248792,0.9907572648257241,9.92063492063492e-10
4,3,15.568218793259632,0.9864145551332498,9.92063492063492e-10
4,5,15.2970523169015,0.9777861575039523,9.92063492063492e-10
4,7,15.030609005015613,0.9692332344763441,9.92063492063492e-10
4,10,14.639620402157629,0.9565439222193887,9.92063492063492e-10
8,0,63.87212791470932,0.999000499833375,9.92063492063492e-10
8,1,62.75960630294815,0.9902620100173312,9.92063492063492e-10
8,2,61.666462538411494,0.98159995780495,9.92063492063492e-10
8,3,60.592359098700605,0.973013674578727,9.92063492063492e-10
8,5,58.49995239650538,0.9560657698063437,9.92063492063492e-10
8,7,56.4798017654141,0.9394130628134758,9.92063492063492e-10
8,10,53.579621379817475,0.9149762751348518,9.92063492063492e-10
16,0,254.97804527206182,0.9980019986673331,9.92063492063492e-10
16,1,246.17301145631558,0.9806188484835648,9.92063492063492e-10
16,2,237.67203762508174,0.9635384771626796,9.92063492063492e-10
16,3,229.46462382161786,0.946755610917197,9.92063492063492e-10
16,5,213.89027689958723,0.9140617561953965,9.92063492063492e-10
16,7,199.37300046627965,0.8824969025845953,9.92063492063492e-10
16,10,179.4234892002871,0.837181584059648,9.92063492063492e-10
32,0,1015.8406807931501,0.9960079893439915,9.92063492063492e-10
32,1,946.8929932729886,0.9616133260012327,9.92063492063492e-10
32,2,882.6249604509105,0.9284063969729756,9.92063492063492e-10
32,3,822.7189622749469,0.8963461868031948,9.92063492063492e-10
32,5,714.8289148778454,0.8355088941390126,9.92063492063492e-10
32,7,621.0873955457366,0.7788007830714049,9.92063492063492e-10
32,10,503.01231995008663,0.7008730046886215,9.92063492063492e-10
64,0,4030.985502946448,0.9920319148370607,9.92063492063492e-10
64,1,3502.368518396407,0.924700188743153,9.92063492063492e-10
64,2,3043.073518792857,0.8619384379403423,9.92063492063492e-10
64,3,2644.0097300264274,0.8034364865966278,9.92063492063492e-10
64,5,1996.0170997868665,0.6980751121853959,9.92063492063492e-10
64,7,1506.8341910382278,0.6065306597126334,9.92063492063492e-10
64,10,988.3648203967513,0.4912229687012565,9.92063492063492e-10
128,0,15868.011840785573,0.9841273200552851,9.92063492063492e-10
128,1,11979.087147123284,0.8550704390616228,9.92063492063492e-10
128,2,9043.2582429476,0.7429378707990374,9.92063492063492e-10
128,3,6826.940871557053,0.6455101879947333,9.92063492063492e-10
128,5,3890.707287735912,0.48730886225265296,9.92063492063492e-10
128,7,2217.3332805486625,0.36787944117144233,9.92063492063492e-10
128,10,953.969744333889,0.2413000049796756,9.92063492063492e-10
256,0,61473.095649245886,0.9685065820791976,9.92063492063492e-10
256,1,35033.820526946845,0.7311454557570364,9.92063492063492e-10
256,2,19965.94717984368,0.5519566798674073,9.92063492063492e-10
256,3,11378.691812435589,0.4166834028049959,9.92063492063492e-10
256,5,3695.703905967123,0.2374699272299751,9.92063492063492e-10
256,7,1200.3337102120831,0.1353352832366127,9.92063492063492e-10
256,10,222.18219558214489,0.05822569240319147,9.92063492063492e-10
