N,hours_before_hard_alarm,detection_probability
4,0,0.45523946705903806
4,4,0.4863726938705403
4,8,0.5176120288055145
4,12,0.548714296902925
4,16,0.5794405627640902
4,20,0.609563378502317
4,24,0.6388732960447162
4,28,0.6671842636837632
4,32,0.694337642467908
4,36,0.7202047120797979
4,40,0.7446876693067913
4,44,0.767719238528101
4,48,0.7892611013071767
4,52,0.8093014057940524
4,56,0.8278516366229901
4,60,0.8449431171950135
4,64,0.8606233861252006
4,68,0.874952646465526
4,72,0.8880004377081119
4,76,0.8998426326377458
4,80,0.9105588180699206
4,84,0.9202300827919087
4,88,0.9289372085094256
4,92,0.9367592400705197
4,96,0.9437723987740232
16,0,0.3278135162134009
16,4,0.3850681992423772
16,8,0.4456923580629351
16,12,0.5079765959311853
16,16,0.570014200734464
16,20,0.6299282669373704
16,24,0.6860914208132767
16,28,0.7372858454881777
16,32,0.7827745706972206
16,36,0.8222854653061549
16,40,0.8559324399178929
16,44,0.8841068305793026
16,48,0.9073676338890675
16,52,0.926348710580367
16,56,0.9416903603606531
16,60,0.9539950327759071
16,64,0.9638029447566823
16,68,0.9715821702815353
16,72,0.9777281712088601
16,76,0.9825688073330744
16,80,0.9863720272247638
16,84,0.9893544331024929
16,88,0.9916896550379479
16,92,0.9935159776350299
16,96,0.9949429852273144
64,0,0.053536758730668224
64,4,0.08530452953754356
64,8,0.13326846692892622
64,12,0.2022382338300244
64,16,0.2947627165691495
64,20,0.4079700073964118
64,24,0.5318658420048136
64,28,0.6519533218322106
64,32,0.7554024346453041
64,36,0.8358455869575954
64,40,0.8935604114236714
64,44,0.9326191687516603
64,48,0.9580184324255832
64,52,0.9741092162554921
64,56,0.9841348236609647
64,60,0.9903168373686996
64,64,0.9941044025922173
64,68,0.9964158250722988
64,72,0.9978230178993892
64,76,0.9986784616126502
64,80,0.9991980294375526
64,84,0.9995134267270893
64,88,0.9997048218794405
64,92,0.9998209446236791
64,96,0.9998913897725801
